post_num,track_name,artist,broll_idea,themes,min_videos
6,Losing It,FISHER,nightclub crowd energy bass,nightlife crowd energy,4
7,El Sueno,Dennis Cruz,nightclub silhouettes dim lights,nightlife silhouettes dim,4
8,Your Love,Frankie Knuckles,nightclub crowd dancing energy,nightlife crowd dancing,4
9,Be Good To Me,Cloonee,nightclub lights crowd jumping,nightlife lights crowd,4
10,Can You Feel It,Mr. Fingers,nightclub hands up dancing,nightlife crowd energy,4
11,Move Your Body,Marshall Jefferson,nightclub crowd dancing bass,nightlife crowd bass,4
12,Music Sounds Better With You,Stardust,nightclub lounge vibe,nightlife lounge club,4
